"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"1","Afghanistan",2020-01-23,0,0,"AF","AS","Afghanistan"
"2","Afghanistan",2020-01-24,0,0,"AF","AS","Afghanistan"
"3","Afghanistan",2020-01-25,0,0,"AF","AS","Afghanistan"
"4","Afghanistan",2020-01-26,0,0,"AF","AS","Afghanistan"
"5","Afghanistan",2020-01-27,0,0,"AF","AS","Afghanistan"
"6","Afghanistan",2020-01-28,0,0,"AF","AS","Afghanistan"
"7","Afghanistan",2020-01-29,0,0,"AF","AS","Afghanistan"
"8","Afghanistan",2020-01-30,0,0,"AF","AS","Afghanistan"
"9","Afghanistan",2020-01-31,0,0,"AF","AS","Afghanistan"
"10","Afghanistan",2020-02-01,0,0,"AF","AS","Afghanistan"
"11","Afghanistan",2020-02-02,0,0,"AF","AS","Afghanistan"
"12","Afghanistan",2020-02-03,0,0,"AF","AS","Afghanistan"
"13","Afghanistan",2020-02-04,0,0,"AF","AS","Afghanistan"
"14","Afghanistan",2020-02-05,0,0,"AF","AS","Afghanistan"
"15","Afghanistan",2020-02-06,0,0,"AF","AS","Afghanistan"
"16","Afghanistan",2020-02-07,0,0,"AF","AS","Afghanistan"
"17","Afghanistan",2020-02-08,0,0,"AF","AS","Afghanistan"
"18","Afghanistan",2020-02-09,0,0,"AF","AS","Afghanistan"
"19","Afghanistan",2020-02-10,0,0,"AF","AS","Afghanistan"
"20","Afghanistan",2020-02-11,0,0,"AF","AS","Afghanistan"
"21","Afghanistan",2020-02-12,0,0,"AF","AS","Afghanistan"
"22","Afghanistan",2020-02-13,0,0,"AF","AS","Afghanistan"
"23","Afghanistan",2020-02-14,0,0,"AF","AS","Afghanistan"
"24","Afghanistan",2020-02-15,0,0,"AF","AS","Afghanistan"
"25","Afghanistan",2020-02-16,0,0,"AF","AS","Afghanistan"
"26","Afghanistan",2020-02-17,0,0,"AF","AS","Afghanistan"
"27","Afghanistan",2020-02-18,0,0,"AF","AS","Afghanistan"
"28","Afghanistan",2020-02-19,0,0,"AF","AS","Afghanistan"
"29","Afghanistan",2020-02-20,0,0,"AF","AS","Afghanistan"
"30","Afghanistan",2020-02-21,0,0,"AF","AS","Afghanistan"
"31","Afghanistan",2020-02-22,0,0,"AF","AS","Afghanistan"
"32","Afghanistan",2020-02-23,0,0,"AF","AS","Afghanistan"
"33","Afghanistan",2020-02-24,1,1,"AF","AS","Afghanistan"
"34","Afghanistan",2020-02-25,1,0,"AF","AS","Afghanistan"
"35","Afghanistan",2020-02-26,1,0,"AF","AS","Afghanistan"
"36","Afghanistan",2020-02-27,1,0,"AF","AS","Afghanistan"
"37","Afghanistan",2020-02-28,1,0,"AF","AS","Afghanistan"
"38","Afghanistan",2020-02-29,1,0,"AF","AS","Afghanistan"
"39","Afghanistan",2020-03-01,1,0,"AF","AS","Afghanistan"
"40","Afghanistan",2020-03-02,1,0,"AF","AS","Afghanistan"
"41","Afghanistan",2020-03-03,1,0,"AF","AS","Afghanistan"
"42","Afghanistan",2020-03-04,1,0,"AF","AS","Afghanistan"
"43","Afghanistan",2020-03-05,1,0,"AF","AS","Afghanistan"
"44","Afghanistan",2020-03-06,1,0,"AF","AS","Afghanistan"
"45","Afghanistan",2020-03-07,1,0,"AF","AS","Afghanistan"
"46","Afghanistan",2020-03-08,4,3,"AF","AS","Afghanistan"
"47","Afghanistan",2020-03-09,4,0,"AF","AS","Afghanistan"
"48","Afghanistan",2020-03-10,5,1,"AF","AS","Afghanistan"
"49","Afghanistan",2020-03-11,7,2,"AF","AS","Afghanistan"
"50","Afghanistan",2020-03-12,7,0,"AF","AS","Afghanistan"
"51","Afghanistan",2020-03-13,7,0,"AF","AS","Afghanistan"
"52","Afghanistan",2020-03-14,11,4,"AF","AS","Afghanistan"
"53","Afghanistan",2020-03-15,16,5,"AF","AS","Afghanistan"
"54","Afghanistan",2020-03-16,21,5,"AF","AS","Afghanistan"
"55","Afghanistan",2020-03-17,22,1,"AF","AS","Afghanistan"
"56","Afghanistan",2020-03-18,22,0,"AF","AS","Afghanistan"
"57","Afghanistan",2020-03-19,22,0,"AF","AS","Afghanistan"
"58","Afghanistan",2020-03-20,24,2,"AF","AS","Afghanistan"
"59","Afghanistan",2020-03-21,24,0,"AF","AS","Afghanistan"
"60","Afghanistan",2020-03-22,40,16,"AF","AS","Afghanistan"
"61","Afghanistan",2020-03-23,40,0,"AF","AS","Afghanistan"
"62","Afghanistan",2020-03-24,74,34,"AF","AS","Afghanistan"
"63","Afghanistan",2020-03-25,84,10,"AF","AS","Afghanistan"
"64","Afghanistan",2020-03-26,94,10,"AF","AS","Afghanistan"
"65","Afghanistan",2020-03-27,110,16,"AF","AS","Afghanistan"
"66","Afghanistan",2020-03-28,110,0,"AF","AS","Afghanistan"
"67","Afghanistan",2020-03-29,120,10,"AF","AS","Afghanistan"
"68","Afghanistan",2020-03-30,170,50,"AF","AS","Afghanistan"
"69","Afghanistan",2020-03-31,174,4,"AF","AS","Afghanistan"
"70","Afghanistan",2020-04-01,237,63,"AF","AS","Afghanistan"
"71","Afghanistan",2020-04-02,273,36,"AF","AS","Afghanistan"
"72","Afghanistan",2020-04-03,281,8,"AF","AS","Afghanistan"
"73","Afghanistan",2020-04-04,299,18,"AF","AS","Afghanistan"
"74","Afghanistan",2020-04-05,349,50,"AF","AS","Afghanistan"
"75","Afghanistan",2020-04-06,367,18,"AF","AS","Afghanistan"
"76","Afghanistan",2020-04-07,423,56,"AF","AS","Afghanistan"
"77","Afghanistan",2020-04-08,444,21,"AF","AS","Afghanistan"
"78","Afghanistan",2020-04-09,484,40,"AF","AS","Afghanistan"
"79","Afghanistan",2020-04-10,521,37,"AF","AS","Afghanistan"
"80","Afghanistan",2020-04-11,555,34,"AF","AS","Afghanistan"
"81","Afghanistan",2020-04-12,607,52,"AF","AS","Afghanistan"
"82","Afghanistan",2020-04-13,665,58,"AF","AS","Afghanistan"
"83","Afghanistan",2020-04-14,714,49,"AF","AS","Afghanistan"
"84","Afghanistan",2020-04-15,784,70,"AF","AS","Afghanistan"
"85","Afghanistan",2020-04-16,840,56,"AF","AS","Afghanistan"
"86","Afghanistan",2020-04-17,906,66,"AF","AS","Afghanistan"
"87","Afghanistan",2020-04-18,933,27,"AF","AS","Afghanistan"
"88","Afghanistan",2020-04-19,996,63,"AF","AS","Afghanistan"
"89","Afghanistan",2020-04-20,1026,30,"AF","AS","Afghanistan"
"90","Afghanistan",2020-04-21,1092,66,"AF","AS","Afghanistan"
"91","Afghanistan",2020-04-22,1176,84,"AF","AS","Afghanistan"
"92","Afghanistan",2020-04-23,1279,103,"AF","AS","Afghanistan"
"93","Afghanistan",2020-04-24,1351,72,"AF","AS","Afghanistan"
"94","Afghanistan",2020-04-25,1463,112,"AF","AS","Afghanistan"
"95","Afghanistan",2020-04-26,1531,68,"AF","AS","Afghanistan"
"96","Afghanistan",2020-04-27,1703,172,"AF","AS","Afghanistan"
"97","Afghanistan",2020-04-28,1828,125,"AF","AS","Afghanistan"
"98","Afghanistan",2020-04-29,1939,111,"AF","AS","Afghanistan"
"99","Afghanistan",2020-04-30,2171,232,"AF","AS","Afghanistan"
"100","Afghanistan",2020-05-01,2335,164,"AF","AS","Afghanistan"
"101","Afghanistan",2020-05-02,2469,134,"AF","AS","Afghanistan"
"102","Afghanistan",2020-05-03,2704,235,"AF","AS","Afghanistan"
"103","Afghanistan",2020-05-04,2894,190,"AF","AS","Afghanistan"
"104","Afghanistan",2020-05-05,3224,330,"AF","AS","Afghanistan"
"105","Afghanistan",2020-05-06,3392,168,"AF","AS","Afghanistan"
"106","Afghanistan",2020-05-07,3563,171,"AF","AS","Afghanistan"
"107","Afghanistan",2020-05-08,3778,215,"AF","AS","Afghanistan"
"108","Afghanistan",2020-05-09,4033,255,"AF","AS","Afghanistan"
"109","Afghanistan",2020-05-10,4402,369,"AF","AS","Afghanistan"
"110","Afghanistan",2020-05-11,4687,285,"AF","AS","Afghanistan"
"111","Afghanistan",2020-05-12,4963,276,"AF","AS","Afghanistan"
"112","Afghanistan",2020-05-13,5226,263,"AF","AS","Afghanistan"
"113","Afghanistan",2020-05-14,5639,413,"AF","AS","Afghanistan"
"114","Afghanistan",2020-05-15,6053,414,"AF","AS","Afghanistan"
